E2 Local Authority Clients — Benefit Calculator URLs,,
,,
#,Local Authority,e2calc URL
1,Hounslow,https://hounslow.entitledto.co.uk
2,Herefordshire,https://www.herefordshire.entitledto.co.uk
3,Royal Borough of Kensington and Chelsea (RBKC),https://www.rbkc.entitledto.co.uk
4,Kent County Council,https://www.kent.entitledto.co.uk
5,East Riding of Yorkshire,https://www.eastriding.entitledto.co.uk
6,Cambridge,https://www.cambridge.entitledto.co.uk
7,Eastbourne,https://www.eastbournecalc.entitledto.co.uk
8,Harrow,https://www.harrowcalc.entitledto.co.uk
9,South Ayrshire,https://www.south-ayrshire.entitledto.co.uk
10,York,https://www.york.entitledto.co.uk
11,Brentwood,https://www.brentwoodcalc.entitledto.co.uk
12,Great Yarmouth,https://www.great-yarmouthcalc.entitledto.co.uk
13,Oldham,https://www.oldhamcalc.entitledto.co.uk
14,Havant,https://www.havantcalc.entitledto.co.uk
15,East Hampshire,https://www.easthantscalc.entitledto.co.uk
16,Hillingdon,https://www.hillingdoncalc.entitledto.co.uk
17,King's Lynn and West Norfolk,https://www.west-norfolkcalc.entitledto.co.uk
18,Fareham,https://www.farehamcalc.entitledto.co.uk
19,North Norfolk,https://www.northnorfolkcalc.entitledto.co.uk
20,South Kesteven,https://www.southkestevencalc.entitledto.co.uk
21,Boston Borough Council,https://www.southkestevencalc.entitledto.co.uk
22,East Lindsey,https://www.e-lindseycalc.entitledto.co.uk
23,City of Lincoln,https://www.lincolncalc.entitledto.co.uk
24,North Kesteven,https://www.n-kestevencalc.entitledto.co.uk
25,West Lindsey,https://www.west-lindseycalc.entitledto.co.uk
26,South Holland,https://www.shollandcalc.entitledto.co.uk
27,Tamworth,
28,Stafford Borough Council,https://www.staffordbccalc.entitledto.co.uk
29,Craven District Council,https://www.cravendccalc.entitledto.co.uk
30,Wyre,https://www.wyre.entitledto.co.uk
31,Braintree,https://www.braintree.entitledto.co.uk
32,Tendring District Council,https://www.tendring.entitledto.co.uk
33,Stockton-on-Tees,https://www.stockton.entitledto.co.uk
34,Rochford,https://www.rochford.entitledto.co.uk
35,Swindon,https://www.swindon.entitledto.co.uk
36,Castle Point,https://www.castlepoint.entitledto.co.uk
37,Bristol,https://www.bristol.entitledto.co.uk
38,Southend-on-Sea,https://www.southend.entitledto.co.uk
39,Broxbourne,https://www.broxbourne.entitledto.co.uk
40,Uttlesford,https://www.uttlesford.entitledto.co.uk
41,Mendip,https://www.mendip.entitledto.co.uk
42,Basildon,https://www.basildon.entitledto.co.uk
43,Croydon,https://www.croydon.entitledto.co.uk
44,Melton,https://www.melton.entitledto.co.uk
45,Lambeth,https://www.lambeth.entitledto.co.uk
46,Stockport,https://www.stockport.entitledto.co.uk
47,Maldon,https://www.maldon.entitledto.co.uk
48,Wolverhampton,
49,Suffolk Coastal,https://www.suffolkcoastal.entitledto.co.uk
50,Salford,https://www.salford.entitledto.co.uk
51,Kirklees,https://www.kirklees.entitledto.co.uk
52,Cheshire East,
53,Argyll and Bute,
54,Enfield,
55,Inverclyde,
56,Bracknell Forest,
57,Bexley,
58,Kettering,
59,Cannock Chase,
60,Stoke-on-Trent,
61,St Albans,
62,Brent,
63,East Lothian,
64,Stirling,
65,South Norfolk,
66,South Lanarkshire,
67,Falkirk,
68,Norwich,
69,Thanet,
70,Leicester,
71,Swale,
72,Sandwell,
73,North Ayrshire,
74,Dover,
75,Canterbury,
76,Mansfield,
77,Hull (Kingston upon Hull),
78,Blackpool,
79,Gravesham,
80,Sevenoaks,
81,Medway,
82,Shepway (Folkestone & Hythe),
83,Ashford,
84,Maidstone,
85,Hackney,
86,Dartford,
87,Lewisham,
88,West Suffolk,
89,Luton,
90,Durham County Council,
91,Hart,
92,South Oxfordshire,
93,Vale of White Horse,
94,Southampton,
95,Charnwood,
96,Sheffield,
97,Rossendale,
98,Westminster,
99,Shropshire,
100,Tunbridge Wells,
101,Gosport,
102,Wandsworth,
103,Woking,
104,Mid Sussex,
105,Runnymede,
106,Richmond upon Thames,
107,Northumberland,
108,Lincolnshire County Council,
109,Angus,
110,North Devon,
111,Winchester,
112,City of London,
113,Slough,
114,West Lothian,
115,Staffordshire County Council,
116,Derbyshire County Council,
117,Spelthorne,
118,West Lancashire,
119,Haringey,
120,Aberdeen City,
121,South Derbyshire,
122,Southwark,
123,North Lanarkshire,
124,Hertfordshire County Council,
125,Bromley,
126,Walsall,
127,Fife,
128,Sefton,
129,Edinburgh (City of),
130,Peterborough City Council,
131,Cardiff,
132,Carmarthenshire,
133,Cambridgeshire County Council,
134,Watford,
135,Hartlepool,
136,New Forest,
137,Rugby,
138,Ealing,
139,Central Bedfordshire,
140,Solihull,
141,Eastleigh,
142,Bath and North East Somerset,
143,Worcestershire County Council,
144,Ipswich,
145,Newham,
146,Telford and Wrekin,
147,South Tyneside,
148,Blackburn with Darwen,
149,Richmond upon Thames & Wandsworth (shared),
150,Buckinghamshire Council,
